                                                                         R1                                                             R2
                            train                  dev                 test                train                  dev                 test
        File    len    AMR    act    len    AMR    act    len    AMR    act    len    AMR    act    len    AMR    act    len    AMR    act
        bolt   1061   1057    156    133    133     28    133    133     33   1061   1057    159    133    133     27    133    133     34
        cctv    214    213     87      -      -      -      -      -      -    214    213     88      -      -      -      -      -      -
   consensus      -      -      -    100     99     14    100    100     43      -      -      -    100     99     14    100    100     42
         dfa   6455   6431   1505    210    210     53    229    224     37   6455   6429   1572    210    210     56    229    224     36
         dfb      -      -      -      -      -      -      -      -      -  19558  19505   6658      -      -      -      -      -      -
  guidelines    689    685    409      -      -      -      -      -      -    819    812    484      -      -      -      -      -      -
     mt09sdl    204    202     23      -      -      -      -      -      -    204    202     24      -      -      -      -      -      -
       proxy   6603   6413   1783    826    805    200    823    763    197   6603   6413   1813    826    805    207    823    763    208
          wb    866    824    231      -      -      -      -      -      -    866    823    232      -      -      -      -      -      -
      xinhua    741    738    152     99     96     22     86     85     18    741    738    160     99     96     23     86     85     18
